Policy_Company__Standard __%,Policy_Company__Preferred__%,Policy_Installment_Term__6__%,Policy_Installment_Term__12__%,Policy_Billing_Code__Direct Billed to Insured__%,Policy_Billing_Code__Premium Finance__%,Policy_Method_Of_Payment__Pre-paid__%,Policy_Method_Of_Payment__Installment__%,Vehicle_Territory__35__%,Vehicle_Territory__31__%,Vehicle_Territory__30__%,Vehicle_Territory__19__%,Vehicle_Territory__18__%,Vehicle_Territory__13__%,Vehicle_Territory__15__%,Vehicle_Territory__32__%,Vehicle_Territory__37__%,Vehicle_Territory__16__%,Vehicle_Territory__27__%,Vehicle_Territory__26__%,Vehicle_Territory__36__%,Vehicle_Territory__17__%,Vehicle_Territory__20__%,Vehicle_Territory__22__%,Vehicle_Performance__Standard__%,Vehicle_Performance__High__%,Vehicle_Performance__Intermediate__%,Vehicle_Performance__Sports Premium__%,Vehicle_Performance__Sports__%,Vehicle_Usage__Work    __%,Vehicle_Usage__Pleasure__%,Vehicle_Usage__Farm    __%,Vehicle_Usage__Business__%,Vehicle_Miles_To_Work,Vehicle_Age_In_Years__9__%,Vehicle_Age_In_Years__5__%,Vehicle_Age_In_Years__2__%,Vehicle_Age_In_Years__7__%,Vehicle_Age_In_Years__1__%,Vehicle_Age_In_Years__3__%,Vehicle_Age_In_Years__4__%,Vehicle_Age_In_Years__6__%,Vehicle_Age_In_Years__8__%,Driver_Total__1__%,Driver_Total__2__%,Driver_Total_Male__0__%,Driver_Total_Male__1__%,Driver_Total_Male__2__%,Driver_Total_Female__1__%,Driver_Total_Female__0__%,Driver_Total_Female__2__%,Driver_Total_Single__1__%,Driver_Total_Single__0__%,Driver_Total_Single__2__%,Driver_Total_Married__0__%,Driver_Total_Married__2__%,Driver_Total_Married__1__%,Driver_Total_Teenager_Age_15_19__0__%,Driver_Total_Teenager_Age_15_19__1__%,Driver_Total_Teenager_Age_15_19__2__%,Driver_Total_College_Ages_20_23__0__%,Driver_Total_College_Ages_20_23__1__%,Driver_Total_Young_Adult_Ages_24_29__1__%,Driver_Total_Young_Adult_Ages_24_29__0__%,Driver_Total_Young_Adult_Ages_24_29__2__%,Driver_Total_Low_Middle_Adult_Ages_30_39__0__%,Driver_Total_Low_Middle_Adult_Ages_30_39__2__%,Driver_Total_Low_Middle_Adult_Ages_30_39__1__%,Driver_Total_Middle_Adult_Ages_40_49__0__%,Driver_Total_Middle_Adult_Ages_40_49__1__%,Driver_Total_Middle_Adult_Ages_40_49__2__%,Driver_Total_Adult_Ages_50_64__0__%,Driver_Total_Adult_Ages_50_64__1__%,Driver_Total_Adult_Ages_50_64__2__%,Driver_Total_Senior_Ages_65_69__0__%,Driver_Total_Senior_Ages_65_69__1__%,Driver_Total_Senior_Ages_65_69__2__%,Driver_Total_Upper_Senior_Ages_70_plus__0__%,Driver_Total_Upper_Senior_Ages_70_plus__1__%,Driver_Total_Upper_Senior_Ages_70_plus__2__%,Vehicle_Youthful_Good_Student_Code__Not Eligible for Good Student Credit__%,Vehicle_Youthful_Good_Student_Code__Eligible for Good Student Credit    __%,Vehicle_Driver_Points__0__%,Vehicle_Driver_Points__1__%,Vehicle_Driver_Points__2__%,Vehicle_Driver_Points__3__%,Vehicle_Driver_Points__4__%,Annual_Premium,Loss_Amount,Driver_Total_College_Ages_20_23__2__%,Vehicle_Driver_Points__6__%,Driver_Total__3__%,Driver_Total_Single__3__%,Driver_Total_Married__3__%,Vehicle_Driver_Points__5__%,Vehicle_Driver_Points__7__%,Driver_Total__4__%,Driver_Total_Female__3__%,Driver_Total_Married__4__%,Driver_Total_Middle_Adult_Ages_40_49__3__%,Driver_Total_Adult_Ages_50_64__3__%,Driver_Total_Adult_Ages_50_64__4__%,Driver_Total_Low_Middle_Adult_Ages_30_39__3__%,Driver_Total_Male__3__%
94.39999999999999,5.6000000000000005,95.89999999999999,4.1000000000000005,98.1,1.9,49.2,50.8,24.2,42.0,17.9,0.8,0.3,1.0,0.6,2.4,1.7000000000000002,1.0,4.3,0.8999999999999999,0.7000000000000001,1.5,0.5,0.2,95.19999999999999,1.0999999999999999,2.8000000000000003,0.7000000000000001,0.2,35.199999999999996,54.0,10.2,0.6,3.306,51.4,7.1,6.6000000000000005,6.0,3.8,5.2,6.1,6.1,7.7,88.3,11.700000000000001,48.3,51.2,0.5,57.3,41.6,1.0999999999999999,23.9,75.5,0.6,39.0,8.3,52.7,95.8,4.1000000000000005,0.1,96.3,3.6999999999999997,8.200000000000001,91.5,0.3,78.8,1.3,19.900000000000002,77.8,20.9,1.3,70.1,28.4,1.5,92.10000000000001,7.6,0.3,91.0,8.7,0.3,98.0,2.0,91.3,6.9,1.5,0.2,0.1,335940.70999999996,41990.51,,,,,,,,,,,,,,,
93.8,6.2,95.3,4.7,97.39999999999999,2.6,49.9,50.1,21.9,45.0,17.599999999999998,0.3,0.5,1.0,0.4,2.5,1.7000000000000002,0.8999999999999999,4.0,1.2,1.0,1.3,0.6,0.1,95.19999999999999,1.5,2.6,0.4,0.3,35.699999999999996,53.2,10.5,0.6,3.32,52.400000000000006,6.3,5.5,6.6000000000000005,2.8000000000000003,5.6000000000000005,8.4,4.6,7.8,88.5,11.5,45.300000000000004,54.1,0.6,54.400000000000006,44.7,0.8999999999999999,24.3,75.3,0.4,38.5,8.6,52.900000000000006,96.39999999999999,3.5999999999999996,,95.89999999999999,4.1000000000000005,8.4,91.10000000000001,0.5,81.0,1.0,18.0,75.5,23.400000000000002,1.0999999999999999,68.60000000000001,29.2,2.1999999999999997,95.0,4.7,0.3,90.60000000000001,8.9,0.5,98.7,1.3,90.2,8.799999999999999,0.8,0.1,0.1,332074.23,11867.98,,,,,,,,,,,,,,,
93.89999999999999,6.1,96.7,3.3000000000000003,98.0,2.0,49.4,50.6,25.6,40.2,16.8,0.7000000000000001,0.4,1.7999999999999998,0.3,2.8000000000000003,3.0,0.5,3.5000000000000004,1.0999999999999999,0.7000000000000001,1.2,0.8999999999999999,0.5,95.3,1.7000000000000002,2.7,0.3,,35.3,57.199999999999996,7.199999999999999,0.3,3.196,53.0,5.8999999999999995,4.6,6.800000000000001,3.0,5.5,5.800000000000001,7.5,7.9,88.9,11.1,43.2,56.3,0.5,52.6,46.800000000000004,0.6,22.3,77.5,0.2,38.9,8.7,52.400000000000006,96.7,3.3000000000000003,,95.1,4.7,6.7,92.7,0.6,81.39999999999999,1.4000000000000001,17.2,74.1,24.2,1.7000000000000002,71.5,26.400000000000002,2.1,94.19999999999999,5.4,0.4,89.9,9.8,0.3,98.6,1.4000000000000001,90.3,8.1,1.3,0.2,0.1,334635.81999999995,13153.82,0.2,,,,,,,,,,,,,,
94.0,6.0,95.3,4.7,97.6,2.4,53.6,46.400000000000006,26.1,42.8,16.7,0.1,0.3,1.0999999999999999,0.7000000000000001,1.7999999999999998,1.7999999999999998,0.4,3.9,0.7000000000000001,0.8999999999999999,1.3,1.0,0.4,94.89999999999999,1.3,3.0,0.4,0.4,38.5,51.300000000000004,9.4,0.8,3.437,56.699999999999996,5.1,5.0,5.4,3.6999999999999997,5.2,6.1,6.4,6.4,88.3,11.700000000000001,46.400000000000006,53.2,0.4,55.900000000000006,43.2,0.8999999999999999,23.599999999999998,75.9,0.5,40.300000000000004,8.9,50.8,96.39999999999999,3.5999999999999996,,96.8,3.1,7.199999999999999,92.2,0.6,80.4,0.7000000000000001,18.9,74.4,23.9,1.7000000000000002,68.89999999999999,29.4,1.7000000000000002,94.69999999999999,5.2,0.1,90.0,9.4,0.6,99.0,1.0,90.3,8.1,1.2,0.4,,328029.39,65156.19,0.1,,,,,,,,,,,,,,
93.8,6.2,95.6,4.3999999999999995,97.6,2.4,49.0,51.0,27.0,42.5,15.0,0.2,0.6,1.0999999999999999,0.4,2.1999999999999997,2.1,0.6,4.0,1.0,1.0999999999999999,1.4000000000000001,0.8,,94.6,1.0999999999999999,3.5000000000000004,0.4,0.4,36.5,54.800000000000004,8.200000000000001,0.5,3.41,53.5,6.7,5.5,7.000000000000001,4.3,5.3,4.8,5.1,7.8,87.4,12.6,47.5,51.800000000000004,0.7000000000000001,58.199999999999996,41.199999999999996,0.6,22.6,76.7,0.7000000000000001,37.6,9.5,52.900000000000006,96.89999999999999,3.1,,96.89999999999999,3.1,7.1,92.4,0.5,77.4,1.6,21.0,73.6,25.0,1.4000000000000001,71.2,26.5,2.3,94.3,5.6000000000000005,0.1,90.9,8.799999999999999,0.3,98.9,1.0999999999999999,91.9,7.000000000000001,1.0,0.1,,338521.79000000004,47644.83,,,,,,,,,,,,,,,
93.10000000000001,6.9,96.3,3.6999999999999997,98.0,2.0,50.7,49.3,24.6,45.2,15.6,0.4,0.4,0.4,0.4,2.1,2.1,0.3,3.6999999999999997,1.4000000000000001,0.8,1.5,0.6,0.5,95.7,0.8,3.0,0.3,0.2,33.2,54.900000000000006,11.1,0.8,3.163,52.7,7.199999999999999,4.5,5.6000000000000005,4.3999999999999995,5.6000000000000005,6.2,6.800000000000001,7.000000000000001,88.6,11.4,46.1,53.5,0.4,54.900000000000006,44.0,1.0999999999999999,23.9,75.7,0.4,40.0,8.200000000000001,51.800000000000004,96.0,4.0,,95.5,4.3,8.200000000000001,91.2,0.6,80.80000000000001,1.5,17.7,73.0,26.200000000000003,0.8,73.1,25.8,1.0999999999999999,94.0,5.8999999999999995,0.1,90.3,8.7,1.0,98.3,1.7000000000000002,90.4,8.200000000000001,1.3,,,329598.18999999994,46244.47,0.2,0.1,,,,,,,,,,,,,
92.60000000000001,7.3999999999999995,96.6,3.4000000000000004,97.89999999999999,2.1,48.9,51.1,25.6,44.800000000000004,15.8,0.5,0.4,0.8,0.3,2.1999999999999997,1.7000000000000002,1.0,3.5000000000000004,1.2,0.4,0.4,0.8999999999999999,0.5,96.2,0.7000000000000001,2.3,0.7000000000000001,0.1,37.4,53.300000000000004,8.5,0.8,3.057,55.2,6.7,5.1,5.800000000000001,3.1,4.8,7.1,5.0,7.199999999999999,87.8,12.2,45.800000000000004,53.7,0.5,56.3,43.1,0.6,24.2,75.2,0.6,37.5,9.0,53.5,96.6,3.4000000000000004,,94.89999999999999,4.9,8.3,91.5,0.2,79.7,1.2,19.1,74.2,24.5,1.3,70.89999999999999,26.700000000000003,2.4,94.3,5.4,0.3,91.8,7.7,0.5,99.0,1.0,89.1,9.5,1.3,0.1,,326815.95,34872.170000000006,0.2,,,,,,,,,,,,,,
92.30000000000001,7.7,96.2,3.8,97.8,2.1999999999999997,48.3,51.7,26.5,42.6,15.4,0.3,0.3,1.0,0.5,2.0,2.1999999999999997,0.8999999999999999,4.2,1.0999999999999999,1.0,1.0,0.7000000000000001,0.3,94.8,1.5,3.1,0.3,0.3,36.8,53.5,8.6,1.0999999999999999,3.119,53.7,6.2,4.3999999999999995,6.7,3.6999999999999997,5.5,5.6000000000000005,7.199999999999999,7.000000000000001,88.1,11.899999999999999,48.1,51.300000000000004,0.6,58.199999999999996,41.199999999999996,0.6,23.3,76.5,0.2,39.4,10.2,50.4,96.0,4.0,,95.19999999999999,4.8,8.4,91.0,0.6,79.0,1.2,19.8,75.5,23.0,1.5,72.1,25.7,2.1999999999999997,93.30000000000001,6.6000000000000005,0.1,91.9,7.8,0.3,98.5,1.5,89.3,9.1,1.3,0.3,,329012.94,22432.4,,,,,,,,,,,,,,,
93.5,6.5,96.7,3.3000000000000003,98.2,1.7999999999999998,50.0,50.0,24.4,47.199999999999996,14.6,0.3,0.3,0.8999999999999999,0.3,1.6,1.6,0.4,4.5,0.8,0.4,1.6,0.8999999999999999,0.2,95.6,1.3,2.1999999999999997,0.5,0.4,34.5,55.2,9.8,0.5,3.232,51.9,5.0,6.1,6.800000000000001,4.2,6.4,5.2,7.3999999999999995,7.000000000000001,86.8,13.200000000000001,44.5,54.900000000000006,0.6,55.300000000000004,43.8,0.8999999999999999,24.0,75.8,0.2,39.1,10.5,50.4,96.2,3.8,,95.7,4.2,7.5,91.9,0.6,80.7,1.2,18.099999999999998,74.0,24.3,1.7000000000000002,72.7,24.099999999999998,3.2,93.89999999999999,5.800000000000001,0.3,89.7,9.4,0.8999999999999999,99.1,0.8999999999999999,89.8,8.7,1.4000000000000001,0.1,,334196.83999999997,44321.64,0.1,,,,,,,,,,,,,,
93.89999999999999,6.1,96.6,3.4000000000000004,98.3,1.7000000000000002,50.3,49.7,27.500000000000004,39.4,16.8,0.6,0.4,1.5,0.6,2.3,1.9,0.7000000000000001,3.5999999999999996,1.2,1.0,1.5,0.8999999999999999,0.1,95.1,0.8999999999999999,3.2,0.5,0.3,35.099999999999994,54.2,10.100000000000001,0.6,2.959,55.300000000000004,5.5,5.6000000000000005,6.0,3.0,6.1,7.1,5.1,6.3,89.60000000000001,10.299999999999999,46.2,53.6,0.2,54.50000000000001,44.5,1.0,23.3,76.0,0.6,38.9,7.7,53.400000000000006,96.0,4.0,,95.1,4.9,8.5,91.0,0.5,81.5,1.2,17.299999999999997,75.6,23.400000000000002,1.0,70.19999999999999,27.900000000000002,1.9,95.0,4.9,0.1,90.7,8.4,0.8999999999999999,98.8,1.2,91.0,7.8,0.8999999999999999,0.3,,336173.42,33772.9,,,0.1,0.1,,,,,,,,,,,
